Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,'2454,聯發科,750.0,741.0,756.0,738.0,6932733
2022-12-02,'2454,聯發科,730.0,739.0,748.0,730.0,4119211
2022-12-05,'2454,聯發科,739.0,739.0,755.0,739.0,4535657
2022-12-06,'2454,聯發科,739.0,725.0,744.0,720.0,5041043
2022-12-07,'2454,聯發科,717.0,716.0,728.0,713.0,5325977
2022-12-08,'2454,聯發科,724.0,705.0,725.0,705.0,4204451
2022-12-09,'2454,聯發科,714.0,729.0,729.0,711.0,4613417
2022-12-12,'2454,聯發科,715.0,712.0,716.0,705.0,5234621
2022-12-13,'2454,聯發科,717.0,709.0,722.0,708.0,6051369
2022-12-14,'2454,聯發科,717.0,718.0,724.0,714.0,4980611
2022-12-15,'2454,聯發科,703.0,681.0,706.0,681.0,14093519
2022-12-16,'2454,聯發科,653.0,660.0,665.0,651.0,13076649
2022-12-19,'2454,聯發科,650.0,656.0,662.0,650.0,6975640
2022-12-20,'2454,聯發科,650.0,646.0,660.0,646.0,6420511
2022-12-21,'2454,聯發科,649.0,654.0,661.0,646.0,6274754
2022-12-22,'2454,聯發科,665.0,661.0,668.0,661.0,4093339
2022-12-23,'2454,聯發科,651.0,660.0,661.0,648.0,2430760
2022-12-26,'2454,聯發科,661.0,651.0,661.0,651.0,1515532
2022-12-27,'2454,聯發科,654.0,656.0,664.0,653.0,1969029
2022-12-28,'2454,聯發科,649.0,638.0,649.0,621.0,9053565
2022-12-29,'2454,聯發科,630.0,629.0,631.0,623.0,3690707
2022-12-30,'2454,聯發科,635.0,625.0,640.0,625.0,2648733
2023-01-03,'2454,聯發科,623.0,644.0,645.0,621.0,4509288
2023-01-04,'2454,聯發科,639.0,636.0,644.0,635.0,3081086
2023-01-05,'2454,聯發科,638.0,631.0,641.0,625.0,5429497
2023-01-06,'2454,聯發科,634.0,660.0,660.0,634.0,7951964
2023-01-09,'2454,聯發科,671.0,675.0,675.0,665.0,7084736
2023-01-10,'2454,聯發科,684.0,694.0,696.0,681.0,8836356
